id;cust_id;cust_name;title;content;notify_type;status;notify_time
1;97347;calculating;Future Kids;Innovative;SMS;PENDING;2022-06-13T06:24:59
2;6540;Fully-configurable;Buckinghamshire Customer;Tuna Forges;SMS;SUCCESS;2022-06-13T06:28:19
3;9498;SMTP navigating database;Grocery payment Account;turquoise intermediate;EMAIL;PENDING;2022-06-13T05:00:05
4;21559;Islands Gibraltar compress;Baby Buckinghamshire Grocery;orchestrate Dinar;WECHAT;SUCCESS;2022-06-13T07:16:51
5;39520;Computer Reduced Guarani;Ergonomic payment;deposit Triple-buffered South;WECHAT;PENDING;2022-06-13T05:16:56
6;2186;Steel;China;Loan Dakota virtual;WECHAT;PENDING;2022-06-12T19:28:33
7;22136;programming Account copy;Small Licensed Electronics;Branding gold;SMS;SUCCESS;2022-06-13T11:54:18
8;11172;Handmade International;Concrete;Extension;EMAIL;FAIL;2022-06-12T22:14:16
9;72940;Web;Berkshire Tools;withdrawal;EMAIL;PENDING;2022-06-13T09:17:36
10;57624;Islands Practical;Berkshire Connecticut;Bacon Crossing;SMS;SUCCESS;2022-06-12T21:46:10
