id;serial_no;price;status;cust_id;created_time;action_time;remark
1;75bbbeca-5faa-49a0-b384-ec78767c7f9c;29939;PENDING;87953;2022-05-27T18:26:38;2022-05-28T00:29:50;Outdoors Investment synergize
2;ebb978d7-26b2-4279-be84-a10ce26d3a4f;28808;CANCELLED;59271;2022-05-27T12:37:41;2022-05-28T06:49:35;Grove client-server
3;4714e50f-17a5-4ceb-8ade-07d726279fbc;68075;CANCELLED;54652;2022-05-28T08:53:11;2022-05-28T05:00:23;Grocery generate Auto
4;5274aa7e-dace-4d11-a70f-4bf5e6249f1d;13635;COMPLETED;85591;2022-05-28T05:19:18;2022-05-27T13:40:32;Tasty
5;2125f75c-430b-4849-8e23-c0ffd3abea9d;21088;CANCELLED;6526;2022-05-27T12:14:29;2022-05-27T21:05:58;quantifying Nebraska solid
6;655de944-0370-41ff-aa8a-c490de4e6ca2;17092;COMPLETED;21293;2022-05-28T05:54:11;2022-05-27T19:45:28;intermediate Account
7;41f87808-cf3a-458c-b3db-954cbc874d9f;15445;COMPLETED;97762;2022-05-27T20:59:38;2022-05-28T05:46:44;Quality
8;33f2be81-e6de-42a9-8ab4-99241d86c57a;69351;CANCELLED;9161;2022-05-28T08:01:59;2022-05-27T19:59:44;Forges
9;ba4276a8-e810-4d11-9fe0-caca9933db8b;43330;CANCELLED;42168;2022-05-27T13:59:14;2022-05-27T23:20:55;Wooden
10;52b6d6bd-1e81-4ce9-8aea-0d1c5792c50d;10896;CANCELLED;72821;2022-05-27T21:23:36;2022-05-27T12:15:44;Identity
