id;name;price;type;image;release_date;live_time;created_time;updated_time;stock;showed;status;dsc
1;Steel;31485;SINGLE;quantify monetize Consultant;2022-05-28;2022-05-27T13:41:50;2022-05-27T16:35:23;2022-05-28T05:15:25;9665;true;SELL_OUT;Dynamic Pound withdrawal
2;deposit Centers Metal;83023;SUIT;Michigan throughput Union;2022-05-27;2022-05-28T02:27:21;2022-05-27T19:57:14;2022-05-27T17:51:31;30312;false;AVAILABLE;Card
3;intranet;16516;SUIT;Small digital Oklahoma;2022-05-28;2022-05-28T04:14:53;2022-05-28T01:56:51;2022-05-27T10:32:35;9548;false;SELL_OUT;Identity Dynamic Sports
4;Mexico yellow Cape;27546;SINGLE;Prairie;2022-05-28;2022-05-27T17:56:39;2022-05-27T12:23:43;2022-05-28T04:53:51;96920;false;AVAILABLE;Shoes
5;Ball pixel;28408;SINGLE;quantifying cross-platform multi-byte;2022-05-27;2022-05-27T11:29:29;2022-05-27T13:44:40;2022-05-28T01:58:04;79521;false;SELL_OUT;Fantastic
6;Buckinghamshire;8835;SUIT;User-friendly Data navigate;2022-05-28;2022-05-27T22:14:08;2022-05-28T01:35:27;2022-05-27T12:45:49;2593;true;SELL_OUT;Checking system-worthy
7;Steel;12655;SUIT;Cambridgeshire Chair;2022-05-28;2022-05-27T20:22:06;2022-05-27T10:47:16;2022-05-27T20:41:48;99958;false;AVAILABLE;Dinar
8;Mobility Arkansas Kids;88593;SINGLE;Martinique Executive Down-sized;2022-05-28;2022-05-28T02:52:57;2022-05-27T11:27:17;2022-05-28T01:01:57;80631;true;AVAILABLE;Chief interactive
9;online Home Vista;51362;SUIT;capacity Administrator CFA;2022-05-27;2022-05-27T16:59:04;2022-05-28T05:00:43;2022-05-28T02:10:44;35682;false;SELL_OUT;bypassing Gateway Virtual
10;index Account Concrete;32973;SUIT;synthesizing pink Sausages;2022-05-28;2022-05-28T08:28:05;2022-05-28T03:00:49;2022-05-27T18:38:12;53416;false;SELL_OUT;Electronics
