id;name;amount;image;dsc
1;emulation Afghani SQL;95073;drive;synthesizing Account
2;Gloves;9841;morph primary;multi-byte circuit
3;Diverse value-added Ergonomic;1066;dot-com;Jewelery value-added
4;system-worthy high-level;23957;Soft Automotive access;Buckinghamshire CSS quantifying
5;Assimilated Polarised;25688;alarm Account;deposit
6;Personal Manager bricks-and-clicks;4028;Account Optional Dynamic;payment
7;disintermediate alarm;65247;auxiliary actuating Corporate;demand-driven virtual aggregate
8;wireless connect;4300;Innovative Ethiopia;Norwegian Helena Bedfordshire
9;Intranet;86029;Human;Bacon Reduced card
10;Ergonomic Connecticut Soft;10856;Leu Franc empower;parse
